# Constructed from biom file 
#OTU ID	34_1_P	34_1_Y	34_2_P	34_2_Y	12_P	12_Y	29_P	29_Y	44_P	44_Y	56_P	56_Y	58_P	58_Y	65_P	65_Y	70_P	70_Y	8_P	8_Y 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__Bacillaceae_B;g__Rossellomorea;__	13	31299	12	21	24303	0	0	58532	1316	12501	17793	269	15921	13608	4467	8858	7303	41129	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;__	30334	117	555	98	8344	12446	14341	882	0	26774	2517	0	4222	4810	24469	9050	19117	267	11001	2893 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;__	102	133	20533	32	6167	0	0	25616	11340	0	0	0	27676	18616	2490	10753	965	332	0	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum autotrophicum	4	2	7396	1	7954	1651	2292	2752	6407	0	0	8046	220	0	0	0	0	4135	5954	4467 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;__	7926	5	17	5	549	2225	0	0	5490	0	9728	1631	2838	0	0	0	1264	3647	3272	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;__	512	319	9337	121	0	306	9323	0	1764	11157	2117	0	0	4763	877	37	1020	2981	9786	2173 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	10246	8	5	13	8100	5797	1986	0	0	61	2809	9223	14306	10490	1886	0	578	3025	6893	7495 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum;__	4842	3	11	8	2870	0	3270	137	1639	1396	2251	1276	0	2996	2149	574	1502	1540	1750	5182 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;__	20095	73	128	66	2899	6772	16778	15636	16547	0	25121	5758	23765	0	5300	17593	0	0	0	0 
d__Bacteria;__;__;__;__;__;__	306	13521	506	90	715	5796	0	5007	11783	17079	12210	8610	0	0	1278	8258	2907	0	14744	9632 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;__	8	4	16	2771	1028	2382	0	1612	0	1644	616	1574	2544	710	2105	0	0	2798	1221	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia_J;__	535	30	11330	276	0	1933	7829	2479	6494	8345	12281	3352	2755	0	3592	0	0	2048	8654	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;__	4715	7	397	2	299	1548	0	2047	2225	1204	0	7188	809	2776	1909	3634	3159	798	2149	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium;s__Allorhizobium daejeonense	2367	5	59	2	1613	68	3443	0	64	1576	1207	0	0	778	591	0	649	831	813	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;__	7336	7	2178	3	4028	7149	3959	0	874	3578	143	0	5439	0	397	7582	0	5306	0	1155 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	0	3479	1	2	743	0	0	820	2037	0	262	2186	0	1266	1726	1336	2007	657	151	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;__	13768	117	2875	36	3594	7002	7687	582	15791	6065	5022	12487	0	1265	19817	4271	14841	0	2958	6664 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter chitinilyticus	1	1	2022	0	809	0	525	0	1226	1602	0	1755	0	966	1173	304	0	673	949	1399 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;__	40	1	1550	6	0	0	1497	1202	733	948	1103	0	1251	27	576	173	1068	132	797	99 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__Bosea sp930633495	1393	1	72	1	0	1196	874	1548	411	1137	1720	174	0	203	220	471	1540	143	622	211 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;__;__	16170	135	1580	30	4639	6937	14874	5428	10058	10574	11638	0	17211	1497	3651	15467	14606	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium panipatense_A	2	1	1577	0	538	525	682	830	0	0	1204	987	0	320	0	0	513	333	318	565 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;__	3687	103	3850	31	3805	2357	600	347	1636	2581	0	1524	3986	1686	424	1328	4301	3094	4562	2215 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas;s__Epilithonimonas pallida	18	0	744	0	342	0	414	4	0	238	909	486	621	323	0	116	90	18	450	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter junii	2	0	1372	0	938	936	0	782	2010	0	923	0	1105	515	1476	0	308	0	208	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;__	1	0	2	570	0	308	0	565	0	172	295	310	57	166	417	0	0	234	17	533 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;__	626	1	390	0	462	277	0	262	157	223	0	408	0	184	372	13	434	0	0	398 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;__	729	2	419	0	585	186	466	0	242	0	706	946	668	278	276	0	567	213	55	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Advenella;__	0	0	894	0	90	0	46	0	978	216	704	0	21	0	0	915	0	366	602	303 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium lacticum	224	0	648	0	0	506	270	0	0	855	11	0	381	313	0	0	182	566	412	67 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;__	474	13	1297	4	0	612	543	830	206	994	0	246	897	1049	0	512	817	0	739	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caedimonadales;f__UBA9215;g__UBA9215;s__UBA9215 sp024280495	0	0	242	0	184	126	154	75	165	228	298	57	0	64	85	42	129	183	0	25 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herminiimonas;s__Herminiimonas fonticola	0	0	349	0	157	0	103	0	0	0	0	0	154	259	0	0	0	15	46	172 
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__Microsaccharimonas;s__Microsaccharimonas sp946480535	0	0	206	0	18	0	42	174	174	0	0	305	35	41	95	0	0	0	0	64 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella;__	398	1	85	2	0	233	176	0	164	263	322	81	104	105	393	334	279	67	192	198 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas ginsenosidimutans	5	1	186	0	0	0	107	0	48	71	100	65	0	139	208	129	0	177	43	96 
d__Bacteria;p__Bacillota;c__Bacilli;__;__;__;__	2	1417	0	752	967	477	491	1238	1028	1218	2168	996	684	0	2378	214	2162	798	1592	468 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__Pedobacter africanus	0	0	209	0	106	75	33	40	158	31	0	32	109	117	117	0	91	153	186	29 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__;__;__	0	0	249	0	22	247	0	8	119	0	97	296	62	28	121	28	164	175	63	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Ancylobacter;s__Ancylobacter moscoviensis	182	0	0	1	0	0	118	0	0	0	82	0	126	76	30	120	81	5	67	105 
d__Bacteria;p__Pseudomonadota;__;__;__;__;__	1704	17	170	9	768	0	1179	1423	702	594	413	2253	702	345	0	0	411	645	703	1151 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;__	647	2	356	138	231	628	26	0	0	495	262	508	210	119	182	0	0	0	583	118 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__UBA4416;s__UBA4416 sp002420145	0	0	233	0	150	235	36	91	0	0	65	93	0	371	5	66	134	55	0	180 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__	1085	3	11	2	1147	259	579	223	824	0	1528	0	0	86	354	1152	767	352	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;__	274	0	17	0	51	416	0	225	2	297	0	92	0	194	272	335	180	320	240	55 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella;s__Shinella sp001713395	1	0	189	0	93	0	30	163	99	91	0	0	0	85	0	101	0	220	91	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia;__	0	53	0	183	80	29	91	80	0	0	85	201	153	5	130	55	85	81	281	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;__	0	0	143	0	43	0	78	114	139	0	65	150	6	21	33	62	83	130	29	50 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Gluconobacter_A;__	156	210	192	116	272	186	176	113	169	159	168	145	140	139	160	225	212	154	98	133 
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;__	0	272	0	288	66	157	33	465	96	0	117	0	165	178	198	0	176	190	0	295 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella aceris	38	23	153	46	112	202	74	68	71	69	0	0	60	30	68	0	0	0	124	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;__	1	1	1407	0	0	408	125	455	1973	0	137	0	1416	0	295	906	0	1516	827	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;__	1	1	257	0	123	37	105	53	202	0	0	33	0	0	62	48	0	198	97	374 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira;s__Azospira oryzae	121	18	13	6	77	15	192	194	0	65	28	50	52	0	55	135	31	31	116	89 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas hankookensis_A	0	0	85	0	0	31	92	81	39	52	0	34	0	2	61	0	33	39	24	99 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Pararhizobium;s__Pararhizobium arenae	67	0	0	0	0	37	14	8	32	0	0	0	75	19	28	10	33	0	56	36 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Perlucidibaca;s__Perlucidibaca aquatica	0	0	104	0	0	29	63	55	103	0	84	80	18	0	0	50	22	119	54	7 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea dispersa	156	0	0	1	0	0	66	4	79	13	31	0	188	65	57	0	91	0	0	111 
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;__	17	2292	31	44	84	0	2597	0	1244	1746	0	1098	1093	1773	1143	319	1632	1501	0	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas;__	27	1	250	0	89	36	0	80	0	89	0	185	363	0	197	169	61	15	260	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus metallidurans	59	5	31	5	8	0	61	20	11	107	24	14	33	0	38	23	37	0	0	7 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp900110765	183	1	0	0	0	165	190	32	13	16	52	55	72	0	0	155	0	74	41	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__Ottowia oryzae	7	5	198	4	110	70	188	65	22	80	0	0	103	21	47	42	0	0	87	127 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Xenophilus;__	5	0	197	2	0	195	88	182	0	67	41	126	0	50	0	0	63	0	47	5 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium arachidis	0	0	87	0	48	73	0	8	84	0	8	112	117	29	0	29	0	85	0	38 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;__	62	89	372	44	238	25	273	26	239	311	0	313	66	187	173	76	183	0	121	269 
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus_D	81	0	0	0	0	0	0	0	37	0	0	0	4	55	0	67	36	35	0	99 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Pararhizobium;__	20	0	158	0	32	0	29	0	21	12	96	121	0	106	153	0	0	94	58	86 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Kaistiaceae;g__Kaistia;__	0	0	67	0	64	30	52	38	31	30	60	0	0	37	13	19	42	42	8	6 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea septica	128	134	105	119	122	135	127	140	121	136	133	129	127	118	120	124	122	133	120	121 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;__	39	154	25	12	26	48	53	0	0	53	40	0	0	34	100	173	55	155	63	65 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum_A;s__Ochrobactrum_A quorumnocens	0	1	46	0	19	0	11	32	0	4	0	20	21	27	0	14	0	12	42	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae;g__Pleomorphomonas;s__Pleomorphomonas carboxyditropha	117	0	0	0	71	0	1	55	0	0	103	50	0	0	141	228	41	79	101	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;__	7	176	50	1	30	0	0	109	35	41	49	0	127	0	42	23	41	177	11	0 
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	0	238	0	0	0	0	0	108	0	96	42	0	0	165	167	298	59	0	0	108 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;__;__	8	9	278	6	332	90	229	179	0	52	252	194	138	140	9	0	250	0	0	160 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;__	1	0	108	0	0	0	0	61	51	50	51	57	62	0	19	33	66	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella;s__Shinella zoogloeoides_C	36	0	0	0	28	32	23	0	17	30	12	0	0	0	22	1	13	32	19	34 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herminiimonas;__	4	103	23	0	0	19	36	60	0	71	47	45	57	27	77	64	25	82	47	65 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;__;__;__;__	1175	77	875	176	258	1421	574	1029	522	426	995	0	831	786	0	773	0	928	333	204 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;__	23	19	151	24	54	143	13	90	76	0	0	0	90	52	174	91	109	140	22	87 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas_A;s__Stenotrophomonas_A sp029543105	0	0	26	0	18	24	16	12	0	16	13	15	12	4	6	15	9	0	3	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__;__	811	1	77	0	0	165	0	0	657	0	0	178	743	483	396	689	0	510	0	223 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas acidovorans	334	8	7	5	451	247	214	0	0	462	0	124	235	255	267	62	0	38	0	191 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavipsychrobacter;__	0	0	32	0	26	42	14	0	24	22	4	0	20	26	3	17	4	19	6	2 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Phytobacter;s__Phytobacter diazotrophicus	0	0	20	0	6	2	0	2	5	7	20	0	3	11	23	9	5	2	9	15 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium sp001557235	0	0	64	2	11	22	23	40	52	25	14	61	22	66	15	36	0	13	16	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum_A;s__Ochrobactrum_A rhizosphaerae	0	0	23	0	0	17	16	0	11	0	0	12	0	17	6	12	0	0	16	8 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter radioresistens	0	1	0	76	10	22	69	0	0	0	0	50	27	27	18	0	0	51	0	36 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium;__	610	0	138	2	0	269	0	36	699	381	0	224	57	0	248	225	93	758	0	430 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;__	829	3	196	3	145	515	80	25	0	176	1228	645	914	616	706	611	444	30	49	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium_C;s__Rhizobium_C sp017305935	21	0	2	0	6	15	16	7	0	39	13	20	2	5	10	23	3	14	0	1 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas aquatica	41	47	30	11	12	50	30	26	54	50	18	39	13	25	58	55	50	23	2	14 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella;s__Shinella kummerowiae	15	0	35	0	28	8	0	10	36	23	0	0	0	13	27	0	29	13	22	0 
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AD;__	0	0	40	0	0	1	31	31	19	42	0	30	9	0	28	38	28	0	1	38 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Buttiauxella;__	0	0	38	0	16	25	3	33	0	21	0	0	0	12	26	0	0	43	1	19 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp005145025	11	0	1	0	0	1	3	3	2	0	0	13	13	0	2	10	8	10	0	17 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis_A	229	0	0	0	0	144	73	11	14	0	243	67	87	81	14	0	86	0	0	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Azorhizobium;s__Azorhizobium caulinodans	41	0	1	0	0	13	43	0	19	29	0	9	27	5	6	17	9	0	8	49 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas;__	9	0	29	0	21	0	0	5	28	14	0	22	8	0	16	30	15	12	1	17 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Phytobacter;s__Phytobacter ursingii	1472	10	735	5	0	0	525	531	2213	0	675	1120	1292	548	35	509	1915	894	0	1553 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter;s__Dermabacter hominis	0	16	0	0	8	4	4	3	6	0	6	0	6	13	8	12	0	4	9	0 
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium sp003815715	0	0	8	0	8	0	3	3	2	1	4	0	0	0	2	7	8	3	4	1 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;__	16	25	927	12	267	0	377	1	397	88	0	145	78	743	340	442	0	926	317	0 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A winnipegensis	0	0	23	0	9	16	0	25	4	19	7	2	0	0	5	15	0	22	22	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas dokdonensis	0	0	16	0	8	0	3	11	11	0	1	0	7	0	0	16	22	0	10	4 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas aquatilis	11	1	2	0	11	6	5	0	9	2	0	2	3	9	0	1	11	10	9	12 
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;__	16	0	5	1	7	1	10	13	23	0	8	10	5	0	11	0	9	12	15	0 
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;__	62	11	46	40	63	24	12	68	64	35	56	21	37	38	34	55	72	30	39	75 
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas sp029870285	296	2	0	0	26	0	150	0	0	284	436	0	227	61	95	255	106	0	5	176 
